No,message,score,socre2
1257,黑塔医院 1.岗位不同，为什么奖金发放能差三千好几百元。2.医院药品，出入库为啥能差别几万一月。3史鑫扣除职工绩效几万元，为啥不上交国库。,5,6.5
1258,夏店乡毛寨小学周边环境差 尊敬的李书记您好我是夏店乡的一名群众我们乡毛寨村小学东边隔壁新开一个以做麻辣熟食的作坊这个作坊没有经过任何部门审批另外据了解是湖南的一个老板在郑州做麻辣熟食被工商卫生等部门责令停产干不下去而转移到我们这。该作坊加工时散发的气味十分刺鼻小学校学生没法上课好多孩子只好到邻村上学另外加工的都是卫生不达标的面食食品。拿到学校门口出售孩子们大多数吃了都是出现病状他们加工时怕有关部门查就大门紧闭但气味刺鼻孩子们老师们深受其害。现在提倡治理学校周边秩序和环境另外孩子是祖国的花朵和未来怎能容忍这样的环境来践踏希望您在百忙之中让有关部门过问此事进快解决还孩子们一个晴朗的学习环境。。。。,6.5,4.5
1259,长基广场业主想温暖过冬 书记：你好！我是东留村长基广场8号楼业主，05年入住至今不通暖气，已期盼有11年啦，种种理由：1、以前说入住率低，好！现在都入住啦，别再以这个理由不供暖啦。2、小区热力交换站和市政管网不连通无法供暖，在全体业主集体上访市政府等不懈努力下，在13年把连通啦，别再放几年有生锈啦！别再以这个理由不供暖啦。3、多次想政府反映，说没有物业公司无法供暖，反问，没有物业公司的小区济源很多，不都是热力公司在供暖吗，邻居的双桥花园等，有物业公司的喜洋洋小区不也是热力公司直接管理供暖吗！4、城市建设热力配套费，家家户户都已经交啦，别的小区业主不交都用上暖气啦，我们交钱的却用不上。5、大家都想用暖气，都愿意交暖气费。别再说沁园办事处回复说楼长统计说没人用，我不知道什么是楼长，更不知道谁是楼长，也别提楼长去问我用不用暖气！书记，百忙中麻烦你啦，供暖在官员心中可能是小事，对于我们可真是大事情。希望我们的有关部门有所作为，真正办点实事。大家都理解，群众的事最难办，但不能因为难办就不办啊，真希望官员俯下身、克服困难、少一点理由、多一点办法、吃一点苦、流一点汗水给我们把这件事办啦！长基广场500户2000号老百姓真心的感谢书记。,7.5,3
1260,蚌埠滕湖机场 市长您好，请问蚌埠滕湖机场，2018能开始前期的动工吗？具体的是什么时候动工。,1.5,5
1261,我要温暖 您好，作为一个连山区市民我本不想用这样得方式，但是被逼无奈，我家在东城锦华佳苑23号楼四单元，因为去年办停取暖，今年交的费用所以供暖就迟迟不给接管开阀门，我们一家生活在寒冷之中，希望有关部门领导给予关注，给予我们一个温暖的环境谢谢！！,5.5,4.5
1262,开发路何时能通车？ 尊敬的卫东区领导，您好！平安大道至建设路中间的开发路建设已经三年多了，到现在迟迟未能通车，天气好时，路面疙疙瘩瘩勉强还能电车过去，下雨天泥水通车非常不安全，前几天就在涵洞口处发生了一起车祸。感觉此路停工已久了，想问一下，这个项目政府是怎么规划的？何时才能正常通车呢？,5,5
1263,教育下一代 您好蔡书记：我是城关乡盆窑村村民，我孩子今年六岁要上一年级了。我要反映的问题是盆窑小学教师严重缺少，教学质量不好。有的家长担心孩子们学不好都在转学有去私立学校的，有去找人拉关系去别的学校。对老师今年我们县政府是怎样安排？,5,5
1264,金堂县淮口镇云顶村安置房何时建好？ 云顶村的安置房好久建的好？什么时候交房？一万元定金都交了10年了到现在都不得影响？领导你们能不能给我们一个满意的答复？究竟这个房子在建没得？,6,6
1265,何时才能让孩子有个宽敞明亮的家 书记您好：我们是祖祖辈辈都生活在城北村六社的村民，只想咨询一下，我们这边属于棚户区改造吗？就在城北批发市场后面，班道房以下，我们的住宿环境，怎一个脏，乱，差，来形容，如果不属于棚户区改造，我们可以自拆重建吗？如果属于棚户区改造，那么请问何时才能启动？家里面积实在太小，没有下水道污水横流，采光太差，电线乱搭，巷道拥挤，流动人口多而复杂…………无奈房价太高，工资太少。所以咨询一下，好有个规划，不想让孩子再跟着我们受苦了。谢谢！,6,4
1266,降低路口台阶 尊敬的领导:河西岸边有条新改造的路，修的人行道很漂亮，唯一不足的地方就是道口有台阶轮椅童车上不去，不方便。,4,5
1267,不要让沙蒿引起的“”过敏性鼻炎“成为地方恶疾 每年七八九月份，是榆林市过敏性鼻炎的高发季，一到这个时候，数十万过敏性患者就会喷嚏不断，据不完全统计，基本占全市人数的20%左右，患者鼻涕眼泪横流，过敏性鼻炎病情逐年严重，可发展为过敏性结膜炎，过敏性紫癜，过敏性湿疹，严重者还会引发过敏性哮喘，甚至有生命危险。而我市过敏性鼻炎患者通过对患者过敏源检测，过敏性鼻炎致病原因百分之六七十的是沙蒿，沙蒿为菊科蒿属的植物，具备很好的固沙效果，但却让广大患者太痛苦。我是2013年7月份开始是过敏性鼻炎，已由4年有余，每年七月份鼻炎如约而至，最可怜的是我家闺女今年仅仅只有三周岁，也开始有过敏性鼻炎症状，看着孩子因为鼻炎折磨的，作为母亲，我只能说我很无助，很心疼。希望这种现状能引起政府部门的重视，拿出相关的具体措施，还广大患者一个健康生活的权利。,7,5
1268,房屋漏雨请领导关注下，谢谢！ 市长，您好。我家住昌邑区新建北小区14-8-11，我家房屋两个卧室和客厅棚顶漏雨严重，去年市里做的暖房工程后仍然漏雨。严重影响居住，希望领导在百忙之中可以协调相关部门关注协调解决，谢谢。,6.5,5
1269,举报违法违规 书记您好：本区清风里汗蒸会馆在不符合水利法律法规审批的情况下，偷偷打深井三口。自开业以来二口井24小时不间断抽取地下水。造成人口密集的商品房区的地面下沉、多处房屋墙体裂缝。有的房屋开裂程度可能已达到危房的程度。旁边门面房业主都怨声载道，不知要找哪个部门管。如再继续抽下去，不知后果有多严重。这次响水的事故给我们敲响了警钟。还望领导重视。,7,5
1270,自来水停水半年有余 尊敬的书记你好！我是西巩驿镇肖川村西坡社村民。我社自来水停了半年有余至今为止无人过问我也多次向有关部门反应过情况但是没解决了问题本来是一项惠民工程老百姓每户花2千块钱通的自来水正常供用不到一年就一直出问题断断续续停水来水直到去年10月底彻底停水了到现在为止无人问津老百姓直能无赖的等待…恳请书记♥向有关部门落实一下我村自来水的情况！最后我代替我社村民在此谢谢你！！！,6,4
1271,60岁孤寡残疾老人不吃低保到底何人该吃 本人是安徽省枞阳县铁铜乡庆丰村村民，由于幼时得的小二麻痹症导致一条腿残疾，走路都困难，前些年年轻还能继续在外打工靠自己的双手劳动生活，现在年龄越来越大，也干不动回到老家，本想靠家里的几分田地勉强度日，去年还有政府低保补贴勉强生活和赡养近百岁高龄老母，当奈何今年我村低保今年我反而没有了，如今是田里农活我一个残疾老人连路都走不好的更是干不动了，真不知今年的生活该如何进行下去，活干也干不动政府补贴也没有，难道今年要带着百岁高龄的老母出去乞讨么，就算是乞讨看看自己的那条腿，估计也讨不了多久,5,3.5
1272,红古区运管所资格证乱收费 到红古区运管所考资格证，考完后告诉没有考过去，过几天没有任何补考的情况下，通知到二楼所长办公室，取证，但是要给所长交200元钱，也没有任何发票。请领导管一管。,6,5
1273,赣州市农村村民住房建设管理办法是否能更完善呢 尊敬的李书记：您好！今年以来，我们赣州在以您为领导的带领下，农村发展建设方面取得了很大的进步，特别是在农村道路硬化、空心房的拆除，使农村面貌焕然一新，这些都是老百姓享受到的实实在在的政策红利，这些都是在共产党领导下的中国百姓才能真正得到政策红利。然而对于我们赣州市农村村民住房建设管理办法却想提几点问题以待完善，作为农村居民一户一宅也符合中国的传统，一家老小在一起爷孙满堂享受天伦之乐！这也是新农村的一副和谐美景！但是赣州市农村村民住房建设管理办法规定建筑面积为120平方，且总面积为350平方，这对于小家庭来说也够了，对于一般家庭来说再加上农村来了亲朋好友小住时，就显得不怎么宽敞了，因为在农村不可能跑到城镇去开个客房给客人住吧？这一点管理办法有没考虑到呢？还有就是在拆除空心房的同时把牛猪栏、杂货间等都拆除了，我想农村少不了的农具用具这些往哪放呢？在农村少不了养些鸡鸭鹅之类的又往哪关呢？是人与家禽共住吗？原先城里建设住房的时候也有配个杂货间呢，在农村好像没有个附属房，感觉就不怎么人性化啦！在赣州市农村村民住房建设管理办法里面没有看到对附属房的规范要求，所以在这里想问下李书记对于农村村民附属房的建设有没有什么规范和标准？望给百姓一个明示！谢谢！,6.5,6
1274,新高三强制学生补课 市委书记您好想向您反映一下马鞍山二中新高三强制学生暑假补课的情况学生自从6.25结束会考以来便一直按照学校制定的三天一轮回的新课表在学校补课这个新课表一天九节课且全部都是主课第一次补九天才放两天第二次补六天放一天第三次补两天课考两天试如此高强度的补课真的特别不人性化即使是平常的上课也是五天休两天而且课程也不尽是主课还会有音乐美术体育等副课除此以外此次补课被安排在会考后无缝衔接更是令学生身心疲惫学生每日顶着高温上下学出行安全也是一个很大的隐患在如此压力之下学生的学习效率十分低下其实学生们也了解学校老师的用心但课程的不合理补课持续的时间之长是学生所不能容忍的往年从来没有出现过如此之长的补课不知道是不是今天二中高考成绩不好的缘故而且后续补课是否收费也是学生关注的焦点希望小步您能向有关部门反映暑假补课即使不一定合乎国家规定但学生也不是完全反对不合理的学习安排才是学生所诟病的突击式的补课真的没有太大的效果真的拜托您了,6.5,4
1275,西康路三十六号别墅私搭乱建问题 市长您好，我要向您反映的是坐落于和平区吴家窑二号路上叫西康路三十六号别墅私搭乱建的问题，该小区私搭乱建现象严重，不仅多家别墅在原有主体结构的基础上又多建出了另一部分房屋，且现在小区内还有两家再扩建房子，而且小区内圈占绿地情况严重，我们曾向所属街综合执法部门反映过，但无济于事，望市长可以管一管。,6,5
1276,关于2019学年度的精准扶贫贷款的的学费 我是黔南幼儿师范高等专科学校一名大二的学生，本人有精准扶贫且贷款的，助学金已经到账了，只是学费迟迟没得到。按道理来说学费应该是上学期末左右就退了，直到到现在组织签字了好几次，就是没有什么时候能退学费的问题，问过学校老师和领导，他们的说辞是学费还没有拨下来，可是大一的同学却说他们的十一月份就发放了，因此特向领导咨询一下，望得到解答，谢谢,5,5
1277,不是不让用钢碳了吗 罗家寨姑娘新村五道巷晚上凌晨3点左右有几家做早餐的一直用钢碳做饭，环境之差，气味很大，旁边的住户都不敢开窗户！从来没有试过晚上开窗户的感觉！请尽快处理一下，还大家一个舒适的环境！,6.5,7
1278,鳌峰街道辖区流动摊贩占道经营乱象及其严重 台江区鳌峰街道辖区光明路、鳌光路、曙光路、亚兴路、鳌峰路、鳌兴路等各路段，白天、夜间流动摊贩占道经营问题及其严重，导致交通拥堵、环境污染、卫生堪忧！乱象问题持续多年未见改观，近期更是愈演愈烈，辖区居民怨声载道！福州12345系统上随便输入相关关键词，都可以看到无数的投诉和抱怨！更令人无奈的是，当地街道始终都是以“已加强巡逻，及时劝导和驱离”的词句来应付群众的诉求，却始终未见其采取措施予以真正解决！（12345系统为证）恳请区政府领导真正重视辖区群众急迫诉求和对美好生活的向往，督促街道采取有力有效措施，制止流动摊贩占道摆摊乱象，还辖区群众一个优美、有序的生活环境！,6.5,6
1279,七号线站点规划 关于地铁7号线站点规划看到在铭传路与杭埠路交叉口设置铭传路站;在繁华大道与芙蓉路交口设置芙蓉路站，2占距离特别远估计3公里以上了明显异常而经开区那边2站之间只有1公里甚至不到太不科学。目前繁华大道西成熟大型居民区有文一名门绿洲、禹洲天玺、繁华逸城、信地华地城、繁华新园等，长期居民10万加上这边周边很多工厂估计接近15万人次，但是沿着繁华大道西仅有80路公交车，交通拥挤严重，建议能够考虑7号线在杭埠路与繁华大道交口增设一个杭埠路站，照顾到周边小10万人口日常出行。不能因为是这个边上属于肥西县，规划规避该区域完美避开肥西县的繁华西，也要听取群众意见服务大合肥。最终方案木有考虑到繁华西（繁华逸城，文一名门绿洲，禹州天玺，信地华帝城，繁华新园等）几个小区的出行方便，至少应设计杭埠路站，因为地铁规划经过那里，如果政府不考虑周边的群众诉求，服务人民，繁华西群众只有通过去省政府集会来表达自己正当的诉求！望政府考虑,7,5.5
1280,建议增加3路车场次 尊敬的书记，您好:我是咱们县黄交院的学生，公交车到了高峰期，例如周末和放假，车上经常满员，尤其是学生下高铁，更是挤不上车，只得坐不安全的黑三轮，还有某些黑心出租。三路车人很多，主要就是学生，增加车次也能帮助公交多些收入，也方便了武陟本地人民的出行，望书记采纳！,6,5
1281,关于家住傲城小区两个小孩读书问题的咨询 我家住傲城小区，我本人有所在房屋的户籍，家里有两个小孩，目前户籍暂时在彭州，儿子今年11月满6周岁，女儿明年1月满2周岁，请问，按政策我家两个小孩需要满足哪些条件才能在附近小学登记入学？如果满足条件，应该分别去哪个公立小学和公立幼儿园报名登记？以及分别什么时间登记？,4,5
1282,取消湖南的春运准驾证 又到春运时节了。广东和沿海很多省份都不需要办理春运准驾证。而湖南每年都要交费办理春运准驾证，湖南省内没有办理春运准驾证被交警查到就要罚款。驾驶证就是国家颁发给公民的驾驶车辆的资格证，春运不能开车只要取消驾驶证就可以了。,5,5.5
1283,商城路271号三单元楼道脏乱差 商城路271号属于管城区东大街街道办，本楼属于临街楼，无人管理，特别是3单元，还有人收垃圾在楼道里堆放垃圾，冬天不说，随着天气转暖，对方的垃圾散发着恶臭，还存在着严重的火灾隐患，请领导及时督促处理，给居民一个良好的居住环境，为全国文明卫生城市增光，为国家中心城市建设作出贡献。,6.5,5
1284,恒大轻轨时代连续昼夜施工，群众多次投诉无果 从2018年11月至今，恒大轻轨时代在融创御锦外围修筑5栋41层超高层，去年冬天夜间施工几乎每天到晚上12点，年后复工，近期是连续昼夜施工喷混凝土，作为一名怀孕6个月的孕妇几乎是彻夜不眠，给环保多次致电，回复都是办理过夜间施工许可证，请问办理过夜间施工就可以不顾施工噪音的分贝量吗？办理过夜间施工就可以一周连续施工吗？办理过夜间施工许可就可以不顾几千名群众的利益吗？,7.5,7
1285,关于二胎 书记，你好，我老婆是独生子女，但我第一个小孩没满四岁，请问二胎要罚款吗？仁寿的罚款是多少啊？,2,4.5
1286,金建悦和园后边夜间施工灰尘满天飞，噪音扰民， 敬爱的领导您好，我们是平安大道，市二高东侧金建悦和园的居民，金建小区后边到矿区铁路一带的空地，现在被建业购得，工地常夜间施工，噪音过大，打扰附近居民休息，普遍反映很是烦恼，另外，拉土卡车防尘措施没有充分到位，一到施工时间，周边乌烟瘴气，灰尘过大，严重影响到附近居住的空气质量，开发商为赶工程进度，防尘措施不到位，以上问题，严重影响居民生活质量，请相关部门及时强制建业开发商完善降尘，降噪音措施,7,6
1287,通往县城的路面… 县里的领导们，你们好！我是一名在外务工的，农民工。本人是高高兴兴回家过年的。可当回到县城，坐车去二塘，梅桩。那条路，路面上到处都是坑。希望县里的领导们多多的走访民情啊！多多关注民众的实际问题啊！,6,4.5
1288,昌东大道部分破损严重区域可以临时修缮一下 由市政管辖的昌东大道自南钢大道到昌南大道那段，在昌东大道整体翻修计划仍然没有敲定的情况下，当前部分路段已经能够破损很严重了，路面大坑塌陷十分恶劣，钢筋也烂的都露出了坑底，很容易让车辆陷入大坑被钢筋滑坡车胎，一旦高速行驶车辆发生这种情况很容易侧翻或引发其它相撞事故。不管你们还需要多久才能制定好这部分昌东大道的整体翻修计划，就当前情况，请安排路政人员给予以下几个位置临时修缮，减少道路交通安全隐患：（1）昌东大道自南向北经过罗城公路路口位置路面中间车道有一坑洼（2）昌东大道自南向北经过殷王路路口快到黎明路路口口的中间位置段落有大坑，十分恶劣（3）昌东大道自南向北经过观田大市场的附近路段是搓衣板路（4）昌东大道自南向北快到南钢大道路口的西渠桥位置烂的千疮百孔，钢筋全面外露，十分恶劣,8,6.5
1289,噪音扰民 玉州区南江万科英才幼儿园与丽都花园间的小路入50米处，一无牌无证绣花厂每晚超十一点还响个不停，严重影响附近居民休息，乱拉电线和堆放织物还带来火灾隐患，望有关部门及时处理，防患于未燃。,7,6
1290,驾照补考费太离谱了 您好领导！绍兴驾照科目二补考费太离谱了，如果向驾校或教练索要补考收费2000元具体名目或发票，驾校或教练说你不交也可以但是不知道猴年马月轮到你补考。这不是为难我们吗？希望领导了解解决一下。万分感谢,6.5,6
1291,农村土地流转，国家财政补助多少钱每亩？ 丁书记您好，我是滑县赵营乡某村村民，现在我们村开始承包土地，承包价格约1000元/亩，作为农民，没有一技之长，去打工完全不能养了家庭，还是想继续承包土地，土地流转价格目前也高了，加上先前的投资、利息、风险等也挣不了多少钱，请问对农作物生产国家能直接补助多少钱每亩呢？需不需要写申请材料啊？,4,5.5
1292,住房问题 尊敬的张市长您好，我是乐山井研县马踏镇南河村15组27号住户，我家一共是四间土墙盖瓦的房子，由于地震后，房子被震裂，后续接连倒塌了两间，危房无法再继续入住，后续搬至南河小学租了三间教室居住，但是由于资金有困难一直没有自建房屋，现在村干部说南河小学国家要建设项目，需要我们搬离，想咨询一下尊敬的市长，现在危房改造国家是什么政策？国家能补贴多少资金呢？对于有困难的群众，能否有免息建房贷款呢？马踏镇上有公租房或者廉租房可以租用吗？听说我们村现如今没有一户贫困户了，希望国家还能看到我们这些有困难的群众，谢谢！,5,4.5
1293,65岁残疾老人维权的艰辛之路 尊敬的省长您好:又一次向您汇报一下地方政府部门的工作业绩，我本人自1998年进入东营市长安集团工作，长安集团现在东营市西城区黄河路577号，我本人在淄博路61号上班，历经三届领导班子，三次调换工作，直到现在为止，还在为长安集团工作着，作为一个劳动者，我尽心尽力干好我的工作，二十多年我问心无愧，然而用工单位却欺上瞒下，忽悠我二十多年，因为我没有文化不懂法律，长安集团答应给买的养老保险等农民工该享有的都没有实现。就此事在三月向东营市政府热线求助，东营市人社局劳动监察都回话答应调解此事，一等就是遥遥无期。之后就向省政府热线电话求助，领导们都非常热心，都一一答应回复处理，到最后得到的结果还是一样，在中国还有政府处理不了的用工单位，令人不得其解？恳求领导关注一下！,7,5
1294,大通县基层卫生院配备车辆医疗器械不公平问题 尊敬的领导你好，近年来，国家关心扶持基层医疗卫生事业。为此配备了大量的医疗器械和车辆。但是分配实施却没有落实好，没有把这些东西用到刀刃上。大通县卫生局就上述问题，没有实施好。一次性给一家卫生院3台B超。本月配备车辆有的卫生院两辆。有的没有。有的在县内2公里不到给了救护车，有的离线30公里却没有救护车。请问领导，我们的救护车不是为了人民群众的利益而配备的吗？难道发放救护车没有标准码？有的卫生院两三辆，有的却没有。无论什么原因，我们最起码应该为群众考虑。假如晚上来个急救的病人，不能因为车的问题，延误病情啊。我们不是没有条件配备车的。,7,7
1295,郫都区红光镇龙城国际一期17栋跳舞扰民 郫都区红光镇龙城国际一期17栋一单元每天早晨6:40左右开始，放音乐跳舞，下去理论几个大妈还蛮不讲理，向物业反映很多次，没有明显效果；物业的敷衍不作为，给周围几栋住户带来很大烦恼，向物业反映很多次，物业在旁边树立一块公共区域禁止喧哗牌子，没有任何效果，请求把牌子内容直接更换为晚上10.00至次日早晨8.00此次禁止跳舞练拳提示牌，望书记体察民情，仅此要求，盼此要求能解决！此前以向物业提出，均未有回复！,6,6.5
1296,杏园村卫星信号被人为屏蔽 我们杏园村的电视信号，白天好好的，一到晚上被屏蔽后，电视屏幕很闪。他们为了让装有线电视，采取非法手段屏蔽信号，请领导查处。不是我们不装有线，我们打工的一年回家十几天真没必要装有线。他们屏蔽信号已经触动法律，请领导还利于民。,6.5,5
1297,灵宝市富士路澎湖湾KTV噪音污染 安市长，你好：我是灵宝市富士路尹庄村的一名住户，富士路与康庄路交叉口的澎湖湾KTV每天晚上从9点钟左右开始用室外音箱播放店内的音乐及喊麦的声音，晚上10点钟以后声音越来越大，关着窗户也能听到吵杂的声音及重低音的震动，一直到凌晨一点钟左右才停止，严重影响了正常的休息。麻烦尽快协调处理下，谢谢！,7,6
1298,社保人癌症死亡领了半年能退一　　1部分钱吗? 我父亲66岁买的那个3万8的社保，领了半年左右工资，现在胰腺癌晚期，我想问下如果去世了，钱能退一部分吗谢谢!,1.5,5
1299,咨询 杨市长您好:针对《萧县人民政府关于征收陈沟棚改二期项目范围内房屋及附属物的公告》有几点不明白，向有关部门请教，请指点。一、公告没有盖章，政务信息公开对官网发布信息，可以不用公章吗？二、签约时段仅25天，对于涉及面广、影响重大的政府项目，在如此短时间内，能否做到耐心细致的解释？中央、省、市、县对于重大项目有哪些规定？三、住宅的市场评估价2278元/平方米，据了解，萧县的二手房均价在3000以上，请问评估是否明显低于当地商品房市场价？四、方案规定：在征收期限结束后，征收部门将立即通知自来水、电力、煤气等部门，停止对被征收房屋区域供应，以防止造成安全事故。萧县如此规定，是否有违规操作之嫌？,7,6.5
1300,隐珠街道奥海园小区流浪狗成群，严重扰民。 隐珠街道奥海园小区9号楼周围因有人向流浪狗喂食、喂水，导致流浪狗成群，严重扰民。多次向物业反映，物业表示无招、无奈，没有办法管理。4次拨打67712345反映，没有任何实效。1次拨打青岛12345反映，隐珠街道城管部门给我电话回复，让我去给这些狗开具证明，能证明这些狗是流浪狗他们才会管；并回复我，流浪狗的问题应该去找物业......这群流浪狗已经严重影响到我们居民的正常生活秩序，恳请政府协调有关部门彻底解决这群流浪狗扰民问题为盼。,6.5,5.5
1301,关于观光3路发车时间及其不准时 观光3路东丽区总站在程盛道。目前这一片区选择出行的话仅有这一趟路线能到津塘路的轻轨早晨高峰时发车时刻表上面写的10多分钟有一躺但是实际发车时间不但不准而且基本超过20分钟左右及其影响通勤时间的准确希望能快点解决吧。早高峰没条件多几辆车哪怕能准时一点也可以啊这块的交通实在是太不方便了。以前还有街兔共享的电单车这下也没了普通上班族通勤越来越困难了希望能真正的解决不准时问题,6.5,5
1302,黄岗庙拆迁 市长您好，感谢百忙之中看到我的留言！黄岗庙2017年能拆迁吗？现在村子里边到处是危房，出门都是心惊胆战，院里一年见不到阳光，阴暗潮湿任何东西都发霉长毛，道路更是处于无人维护状态，路面坑坑洼洼，下雨天更是连门口都出不去，更别提出行了，连个公交车都没有，晚上更是天天停水，这种日子眼看就要过不下去了！村民更是怨声载道！我代表黄岗庙全体村民望市长大人能给个准确消息，更希望能早日拆迁，早日让我们脱离这种不见天日阴暗潮湿的生活环境！谢谢,6.5,5
1303,关于事业单位人员和公务员混岗的问题 南宁市上林县塘红乡人民政府以人手不够为由，从乡卫计所和乡农林水中心抽调人员到乡政府党政办工作，抽调期均为一年，其中有一人准备到期，也明确要继续抽调一年。乡政府机关抽调我们事业单位的干部，并不是用来完成临时性任务的，而是长期从事一般性的工作。对这部分被借调人员来说，工资、职务等都在原单位，但在原单位根本谈不上工资晋级、职务晋升、考核获奖，职业生涯发展和工作积极性很受影响。,5,6
1304,青龙路橡树湾上学问题。 青龙路附近有橡树湾，尚城华府，香槟小镇，渤海花园，金色森林五个大小区，请问什么时候都建设学区学校呢？,2.5,5
1305,试问多长时间供水才能正常 尊敬的播州区各位领导，你们好！我是播州区三合镇的一位居民，试问你们多久能正常的不间断的全天24小时供水，上一次留言你们不是说7月1日这里的供水由南白镇水公司全面接管么，为什么这个月即将结束供水还未正常，天气那么炎热，没水可想而知，领导们能不能给百姓准确的答案，多久开始正常供水！！！,7,6.5
1306,关于丹竹镇三河村华润水泥厂道路粉尘与噪声过大 位于丹竹镇三河村的华润水泥厂三河工业区旁的河景村一直是一个风景优美的地方，但是自从华润水泥厂在这里安家落户之后一切都变得越来越恶劣了，无论是环境还是安全，矿区离村子只有几百米，每天12点与下午4点就会开炮炸石，房子开裂的厉害，许多人就算有钱也不敢建新房子，近两年华润水泥厂又把征收来的离村子最近的土地出租给一些碎石场，碎石场日夜开工，沙沙的声音比广州市区是有过之而无不及，大货车严重超载运来石头，水泥路08年开建的，现在不过7年时间连水泥板的样子都没有了，灰尘大得根本看不到路.希望政府给我们村几百户村民一个答复吧,6.5,5
1307,1合肥到霍邱的高速公路什么时候开通； 合肥到霍邱到阜阳的高速公路最早说是2018年开始动工，到2020年通车。后来又说2019年动工，但是到现在还没有动工，想问一下具体什么时候动工？,3.5,5
1308,郑沟村为什么没有自来水 我是郑沟村村民，别的村上都拉了自来水，我们郑沟村为什么没有拉，郑沟村缺水都好几年了，一直都是靠的汉井在吃水，雨水多了还好，要是天干的话吃水很困难的，都要跑到别的地方去拉水，而且邻村都拉上自来水了，望多关注，早点解决吃水难的问题，如有说的不到之处，望领导多多谅解。,6,4.5
1309,小孩上几年级是不是老师说了算？ 我孩子是留守儿童，08年8月生，就读于四斗粮小学，读了两个一年级了，今日报名老师还让报一年级，问原因说年龄未到，成绩不好，年龄我不说，成绩单写的数学92，语文78是假的？然后老师又说是我爱人签过字的，要他读一年级的，可现实是我们今天都沒回家过，哪个母亲会这样做呢？为什么这老师这样百般阻拦，是不是一定要送礼？我孩子还要不要读书，还是读一辈子一年级呢？,5,6
1310,太原市人才补贴可以区分双一流跟普通高校吗？ 太原市人才引进政策补贴力度与各个省份相比，补贴力度十分的巨大，市政府留住人才的诚意也很恳切，虽然还没有申请，但也感到很满足。但关于人才补贴政策有几种情况希望政府能够给予考虑。太原市生活补贴跟学费补贴只有985高校跟优势学科可以申请，补贴数额多，且年限长，还有10万购房补贴。而双一流高校硕士毕业生与985高校硕士毕业生五年后将会有将近20万的差距，跟普通高校一个档次。有几种情况：一、本科是985的但研究生是211学校的，能申请到的补贴还不如本科985的申请的多，读了个研究生补贴反而少了，觉得有些不合理；二、本科跟研究生都是双一流高校的只能领到普通高校硕士的补贴，985高校的硕士生本科读的高校很一般的同样可以申领高额补贴；三、北京体育大学、北京电影学院、中央美术学院等专业型高校也仅仅是双一流高校，不是985。四、山西没有985高校。五年之后，生活补贴与租房补贴群体之间的差距将会拉的很大，生活补贴加学费补贴比两年的租房补贴相差20万，再加上购房补贴，生活质量更是会拉大，985高校五年后能够买房买车，事业单位是靠固定工资，靠能力追上希望不大。缩短补贴差距将会调动起来211高校毕业生的积极性，吸引更多的优秀人才，吸引的人才范围也会更广。希望政府能够关注到双一流高校的毕业生，考上也很不容易，本科加硕士均是211的也只能领到跟普通高校一样的水平。毕竟考虑到山西就一所211高校，可以说是太原市就业的主力军，应该给予比普通高校高的补贴，减少人才流失。山西省重视985高校的人才是近几年的政策，三年前考研究生时有两个选择，一所B类的985高校和一所211高校，最终因为专业以及就业方面的考虑选择了211高校，毕业五年后差距有点大，觉得不合理。建议修订人才补贴政策：1、生活补贴跟学费补贴应该加入双一流高校，或者重设档次。2、根据本科与硕士就读院校设置分数，根据分数级别定补贴档次。扩大优秀人才范围，鼓动更多优秀人才就业太原，激发出人才的活力。毕竟985高校也有不如211高校的学生，如果非要以学校定论的话，建议考虑211高校的毕业生，让更大范围的有能力人才落户太原，让政策更加公平！山西省对985人才的渴望是非常重视的！但还有中间的双一流高校也培养出一批人才，从客观政策层面上，尽量缩短人与人之间的差距，减少运气的成分，更加注重能力！希望能够得到回复，谢谢！,8,5
1311,征收局监管不严，老百姓拆迁款被他人占为己有 我要投诉花溪区征收局由于监管不严不严，导致花溪区大寨村部分拆迁款被拆迁公司占为己有，希望领导大力查处，给老百姓一个说法。,7,5.5
1312,证不给我，我该咋办 仓头镇有几个村于2014年宅基测量结束，当时老证收回，新证不发，问题是我和儿分户口本，镇派出所必需要我和儿子的房产证，现在没发，我们该咋办,4,5
1313,别把军人的荣誉弄丢了 领导您好，如果您能看到这条留言，我想向您建议一下，我县是军队人员招兵大县，全国各地都有我们的身影，每年都有各个岗位的人员争取为我们家乡争光，争取荣誉，可是每年争取到的荣誉（优秀士官奖状，三等功奖状），邮回民政局以后就没有以后了，就比如说我自己，我2010年入伍，先后争取到优秀士兵两次，优秀士官一次，三等功一次。可是寄回当地没有收到一次，去民政局翻了很久才找到一张自己的奖状，问民政局所起原因，他们解释时间久了可能丢了。三等功证书都是我自己带回家的，我怕再弄丢了。军人的荣誉每年争取不易，我们是为自己的家乡争光，可自己的荣誉在邮回家的路上却丢了。希望您能督促一下，别让一腔热血的人心凉。,5.5,5
1314,夏家堡 书记您好请问未央区夏家堡拆迁进行到哪一步了？？官方说列入2019拆迁计划，现在已经过了大半，而且说已经在就拆迁问题与夏家堡村委会商议？？是真的吗？？请问具体拆迁时间是什么时候？？今年能拆了吗？？,4,6
